Saline_1,Parg,PargYomb,Saline_2
9.5,41.4,12.8,18.5
14.5,28.8,5.4,22.8
8.9,61.5,8.6,14.7
9.5,61.3,12.5,3.3
16.8,31.4,17.2,17.9
12.3,26.6,20.4,6.5
10.5,55,14,3.6
7.5,42.7,14.1,17.9
27.6,39.2,21.2,12.5
12.7,46.8,20.8,13.9
18.8,36.8,13.1,18.1
17,50.8,7.2,7.3
23.1,40.7,8.9,
19.9,38,14.4,
15.2,21.1,15.6,
9.5,45.8,15.7,
22.6,60.6,16.7,
19,40.7,15.4,
6.4,64.6,25,
7.8,23.4,5.2,
18,61.2,11.7,
13.3,20.1,0.7,
6.7,51.1,10,
17.1,44.4,2.5,
10.3,43.7,10.5,
10.5,42.1,2,
12.3,23.1,10.4,
4.4,45.2,9.1,
14.1,58.5,15.1,
8.9,56.5,15,
17.4,55.4,2.8,
16,41.9,18.3,
15.5,48.2,8.9,
15.6,57.6,6.9,
14.1,37.1,31.3,
13.7,45.5,26.6,
11.2,42.9,19.1,
23.7,47.4,6.4,
21.7,36,12.8,
22.1,37,13.3,
17.1,38.7,28.5,
9.4,56.5,9.3,
11.7,43.9,,
14.2,44.8,,
15.6,54.8,,
16.6,43.1,,
10.4,49.1,,
16.4,55.4,,
11.3,66.9,,
13.3,40.7,,
20.4,29,,
17.2,53.1,,
13.3,35.6,,
4.6,43.8,,
12.2,34.3,,
11,52.1,,
12.3,51.1,,
17.4,45.2,,
19.3,20.4,,
2.2,49.7,,
24.1,61.9,,
18.6,58.3,,
5.7,46.6,,
17.3,35.8,,
20.1,36.4,,
20.8,64.3,,
15.7,35.3,,
15.8,40.8,,
19.3,56.5,,
31.4,21.3,,
13.1,48.4,,
17.9,39.5,,
2.9,47,,
19.6,40.6,,
17.3,47.2,,
13.4,56.3,,
20.3,37,,
13.9,74.9,,
26.5,55.4,,
14.4,48,,
15,43.1,,
7.2,61.7,,
12,62.4,,
18,60.1,,
7.2,37.6,,
12.9,43.8,,
18.6,62.1,,
14.4,45.5,,
6.4,40.7,,
16.8,51.4,,
9.3,46.7,,
10.7,29.8,,
10,44.3,,
15.3,60.1,,
16.3,43.1,,
5.4,35.6,,
7,50.9,,
12.9,53,,
7.1,36.6,,
25,61.5,,
19.9,46.4,,
13.8,64.9,,
9.6,40.5,,
14.8,60.1,,
20.5,40.8,,
16.1,35.3,,
17.9,4.9,,
14.3,44.6,,
17.3,55.9,,
11.9,48.1,,
0.6,34.1,,
14.7,37.6,,
5.7,58.5,,
30.5,40.7,,
19.2,31.3,,
16.7,32.9,,
12.6,54.8,,
22,55.5,,
15.3,67.1,,
23.2,36.2,,
13.4,52.1,,
12.8,29.2,,
18.2,56.8,,
19.9,33.8,,
12.9,36.7,,
21,50.6,,
14.8,46.2,,
13.4,28.7,,
12.4,55.5,,
19.4,54.5,,
20.9,48.6,,
20.6,32.4,,
14.5,63.3,,
13.3,35.9,,
20.6,25.5,,
12.7,51,,
10.9,59.1,,
9.3,44.9,,
21.2,36.3,,
21.3,63.8,,
14.6,51.5,,
13.1,39.9,,
17.9,59.4,,
11.5,47.8,,
12.7,43.9,,
14,58.3,,
12.3,54,,
10.9,33.9,,
22,42.5,,
23.2,54,,
3.1,25.2,,
16.9,27.3,,
12.8,36.3,,
5.7,52.2,,
13.5,35.9,,
9.1,59.3,,
15,61.7,,
15.6,35.9,,
17.4,36.9,,
24.8,22.9,,
8.1,51.5,,
16.3,71.6,,
26.6,52,,
24.9,64.7,,
13.6,41.6,,
9.9,50.6,,
23.6,39.7,,
14.4,69.8,,
13.3,46.7,,
13.4,40,,
10.9,34.1,,
14.8,27.7,,
8.2,46.5,,
8.8,13.9,,
10.9,36.1,,
18.9,29.9,,
12.4,54.1,,
14.7,35.8,,
17.8,52.8,,
6.8,50.3,,
12.5,42.2,,
17.7,48.9,,
18.2,54.8,,
8.9,56.9,,
14.6,35.1,,
17.1,52,,
24.1,51,,
17.9,53,,
18.5,60.2,,
15.8,57.2,,
0.4,48.3,,
10.6,47.4,,
27.8,84.3,,
13.9,44.7,,
23.2,52.5,,
24.6,36.8,,
18.4,55.3,,
19.2,53,,
27.3,59.2,,
17.4,58,,
17.6,35.9,,
12.6,57.4,,
12.4,44.5,,
10,51.1,,
13.2,47,,
23.8,54.5,,
11.1,13.1,,
22,,,
10.1,,,
10.4,,,
14.5,,,
22.3,,,
