SucrConsump,Injection,Exp_Idx
14.7,Saline,1
5.7,Saline,1
30.5,Saline,1
19.2,Saline,1
16.7,Saline,1
12.6,Saline,1
22,Saline,1
15.3,Saline,1
23.2,Saline,1
13.4,Saline,1
12.8,Saline,1
18.2,Saline,1
19.9,Saline,1
12.9,Saline,1
21,Saline,1
14.8,Saline,1
13.4,Saline,1
12.4,Saline,1
19.4,Saline,1
20.9,Saline,1
20.6,Saline,1
14.5,Saline,1
13.3,Saline,1
20.6,Saline,1
12.7,Saline,1
10.9,Saline,1
9.3,Saline,1
21.2,Saline,1
21.3,Saline,1
14.6,Saline,1
13.1,Saline,1
17.9,Saline,1
11.5,Saline,1
12.7,Saline,1
14,Saline,1
12.3,Saline,1
10.9,Saline,1
22,Saline,1
23.2,Saline,1
3.1,Saline,1
16.9,Saline,1
12.8,Saline,1
5.7,Saline,1
13.5,Saline,1
9.1,Saline,1
15,Saline,1
15.6,Saline,1
17.4,Saline,1
24.8,Saline,1
8.1,Saline,1
16.3,Saline,1
26.6,Saline,1
24.9,Saline,1
13.6,Saline,1
9.9,Saline,1
23.6,Saline,1
14.4,Saline,1
13.3,Saline,1
13.4,Saline,1
10.9,Saline,1
14.8,Saline,1
8.2,Saline,1
8.8,Saline,1
10.9,Saline,1
18.9,Saline,1
12.4,Saline,1
14.7,Saline,1
17.8,Saline,1
6.8,Saline,1
12.5,Saline,1
17.7,Saline,1
18.2,Saline,1
8.9,Saline,1
14.6,Saline,1
17.1,Saline,1
24.1,Saline,1
17.9,Saline,1
18.5,Saline,1
15.8,Saline,1
0.4,Saline,1
10.6,Saline,1
27.8,Saline,1
13.9,Saline,1
23.2,Saline,1
24.6,Saline,1
18.4,Saline,1
19.2,Saline,1
27.3,Saline,1
17.4,Saline,1
17.6,Saline,1
12.6,Saline,1
12.4,Saline,1
10,Saline,1
13.2,Saline,1
23.8,Saline,1
11.1,Saline,1
22,Saline,1
10.1,Saline,1
10.4,Saline,1
14.5,Saline,1
22.3,Saline,1
49.1,Parg,1
36.9,Parg,1
41,Parg,1
33.8,Parg,1
56.8,Parg,1
63.8,Parg,1
42.8,Parg,1
40.6,Parg,1
44.7,Parg,1
54,Parg,1
28.1,Parg,1
63.7,Parg,1
60.2,Parg,1
39.4,Parg,1
44.8,Parg,1
58.8,Parg,1
38,Parg,1
43.4,Parg,1
60.4,Parg,1
35.1,Parg,1
17.1,Parg,1
47.2,Parg,1
47.2,Parg,1
43,Parg,1
49.8,Parg,1
56.4,Parg,1
40.1,Parg,1
37.5,Parg,1
45.8,Parg,1
36.6,Parg,1
54.2,Parg,1
64.5,Parg,1
51.9,Parg,1
70.7,Parg,1
51.4,Parg,1
44.4,Parg,1
43.2,Parg,1
47.5,Parg,1
52.7,Parg,1
49.3,Parg,1
39.5,Parg,1
30.9,Parg,1
19.8,Parg,1
45.7,Parg,1
49,Parg,1
36.6,Parg,1
44.4,Parg,1
66.7,Parg,1
55,Parg,1
41.6,Parg,1
30.3,Parg,1
58,Parg,1
45.6,Parg,1
48.3,Parg,1
54.4,Parg,1
42.4,Parg,1
61.2,Parg,1
38.2,Parg,1
47.8,Parg,1
57.3,Parg,1
51.9,Parg,1
61.6,Parg,1
36.8,Parg,1
53.6,Parg,1
28.4,Parg,1
48.4,Parg,1
50.7,Parg,1
34,Parg,1
51.7,Parg,1
40.2,Parg,1
67.2,Parg,1
64.1,Parg,1
48.3,Parg,1
52.7,Parg,1
48,Parg,1
55.7,Parg,1
35,Parg,1
59.5,Parg,1
54.1,Parg,1
43.7,Parg,1
47.4,Parg,1
62.2,Parg,1
39.4,Parg,1
64.9,Parg,1
40.7,Parg,1
31.3,Parg,1
38.5,Parg,1
49.2,Parg,1
41.4,Parg,1
28.8,Parg,1
61.5,Parg,1
61.3,Parg,1
31.4,Parg,1
26.6,Parg,1
55,Parg,1
42.7,Parg,1
39.2,Parg,1
46.8,Parg,1
36.8,Parg,1
50.8,Parg,1
40.7,Parg,1
38,Parg,1
21.1,Parg,1
45.8,Parg,1
60.6,Parg,1
40.7,Parg,1
64.6,Parg,1
23.4,Parg,1
61.2,Parg,1
20.1,Parg,1
51.1,Parg,1
44.4,Parg,1
43.7,Parg,1
42.1,Parg,1
23.1,Parg,1
45.2,Parg,1
58.5,Parg,1
56.5,Parg,1
55.4,Parg,1
41.9,Parg,1
48.2,Parg,1
57.6,Parg,1
37.1,Parg,1
45.5,Parg,1
42.9,Parg,1
47.4,Parg,1
36,Parg,1
37,Parg,1
38.7,Parg,1
56.5,Parg,1
43.9,Parg,1
44.8,Parg,1
54.8,Parg,1
43.1,Parg,1
49.1,Parg,1
55.4,Parg,1
66.9,Parg,1
40.7,Parg,1
29,Parg,1
53.1,Parg,1
35.6,Parg,1
43.8,Parg,1
34.3,Parg,1
52.1,Parg,1
51.1,Parg,1
45.2,Parg,1
20.4,Parg,1
49.7,Parg,1
61.9,Parg,1
58.3,Parg,1
46.6,Parg,1
35.8,Parg,1
36.4,Parg,1
64.3,Parg,1
35.3,Parg,1
40.8,Parg,1
56.5,Parg,1
21.3,Parg,1
48.4,Parg,1
39.5,Parg,1
47,Parg,1
40.6,Parg,1
47.2,Parg,1
56.3,Parg,1
37,Parg,1
74.9,Parg,1
55.4,Parg,1
48,Parg,1
43.1,Parg,1
61.7,Parg,1
62.4,Parg,1
60.1,Parg,1
37.6,Parg,1
43.8,Parg,1
62.1,Parg,1
45.5,Parg,1
40.7,Parg,1
51.4,Parg,1
46.7,Parg,1
29.8,Parg,1
44.3,Parg,1
60.1,Parg,1
43.1,Parg,1
35.6,Parg,1
50.9,Parg,1
53,Parg,1
36.6,Parg,1
61.5,Parg,1
46.4,Parg,1
64.9,Parg,1
40.5,Parg,1
60.1,Parg,1
40.8,Parg,1
35.3,Parg,1
4.9,Parg,1
44.6,Parg,1
55.9,Parg,1
48.1,Parg,1
34.1,Parg,1
37.6,Parg,1
58.5,Parg,1
40.7,Parg,1
31.3,Parg,1
32.9,Parg,1
54.8,Parg,1
55.5,Parg,1
67.1,Parg,1
36.2,Parg,1
52.1,Parg,1
29.2,Parg,1
56.8,Parg,1
33.8,Parg,1
36.7,Parg,1
50.6,Parg,1
46.2,Parg,1
28.7,Parg,1
55.5,Parg,1
54.5,Parg,1
48.6,Parg,1
32.4,Parg,1
63.3,Parg,1
35.9,Parg,1
25.5,Parg,1
51,Parg,1
59.1,Parg,1
44.9,Parg,1
36.3,Parg,1
63.8,Parg,1
51.5,Parg,1
39.9,Parg,1
59.4,Parg,1
47.8,Parg,1
43.9,Parg,1
58.3,Parg,1
54,Parg,1
33.9,Parg,1
42.5,Parg,1
54,Parg,1
25.2,Parg,1
27.3,Parg,1
36.3,Parg,1
52.2,Parg,1
35.9,Parg,1
59.3,Parg,1
61.7,Parg,1
35.9,Parg,1
36.9,Parg,1
22.9,Parg,1
51.5,Parg,1
71.6,Parg,1
52,Parg,1
64.7,Parg,1
41.6,Parg,1
50.6,Parg,1
39.7,Parg,1
69.8,Parg,1
46.7,Parg,1
40,Parg,1
34.1,Parg,1
27.7,Parg,1
46.5,Parg,1
13.9,Parg,1
36.1,Parg,1
29.9,Parg,1
54.1,Parg,1
35.8,Parg,1
52.8,Parg,1
50.3,Parg,1
42.2,Parg,1
48.9,Parg,1
54.8,Parg,1
56.9,Parg,1
35.1,Parg,1
52,Parg,1
51,Parg,1
53,Parg,1
60.2,Parg,1
57.2,Parg,1
48.3,Parg,1
47.4,Parg,1
84.3,Parg,1
44.7,Parg,1
52.5,Parg,1
36.8,Parg,1
55.3,Parg,1
53,Parg,1
59.2,Parg,1
58,Parg,1
35.9,Parg,1
57.4,Parg,1
44.5,Parg,1
51.1,Parg,1
47,Parg,1
54.5,Parg,1
13.1,Parg,1
4.4,Saline,2
21.1,Saline,2
20.7,Saline,2
19.8,Saline,2
16.2,Saline,2
19,Saline,2
22,Saline,2
18.8,Saline,2
15.9,Saline,2
8.2,Saline,2
18.6,Saline,2
18.1,Saline,2
15,Saline,2
20.1,Saline,2
23.2,Saline,2
12.8,Saline,2
23.8,Saline,2
16.1,Saline,2
14,Saline,2
10,Saline,2
5.3,Saline,2
18.4,Saline,2
23.2,Saline,2
20.4,Saline,2
10.1,Saline,2
18.7,Saline,2
25,Saline,2
16,Saline,2
21.2,Saline,2
10.9,Saline,2
9.6,Saline,2
18.7,Saline,2
21.7,Saline,2
6.8,Saline,2
18.6,Saline,2
14.4,Saline,2
14.1,Saline,2
15.6,Saline,2
19.2,Saline,2
22.6,Saline,2
18.3,Saline,2
13.2,Saline,2
19,Saline,2
12.5,Saline,2
20.5,Saline,2
9.6,Saline,2
11.8,Saline,2
17,Saline,2
9.4,Saline,2
15.4,Saline,2
11.4,Saline,2
20.5,Saline,2
16,Saline,2
15.7,Saline,2
13.7,Saline,2
10.5,Saline,2
21.3,Saline,2
14.2,Saline,2
8,Saline,2
16.2,Saline,2
14.2,Saline,2
14.7,Saline,2
13.9,Saline,2
11,Saline,2
17.2,Saline,2
19.7,Saline,2
4,Saline,2
19.5,Saline,2
21.3,Saline,2
24,Saline,2
19.7,Saline,2
21.1,Saline,2
20.1,Saline,2
4.4,Saline,2
15.3,Saline,2
18.2,Saline,2
22,Saline,2
9.4,Saline,2
11.4,Saline,2
7.1,Saline,2
2.3,Saline,2
16.6,Saline,2
18.4,Saline,2
13.5,Saline,2
17.4,Saline,2
15.3,Saline,2
6.8,Saline,2
11.3,Saline,2
18.5,Saline,2
22.8,Saline,2
14.7,Saline,2
3.3,Saline,2
17.9,Saline,2
6.5,Saline,2
3.6,Saline,2
17.9,Saline,2
12.5,Saline,2
13.9,Saline,2
18.1,Saline,2
7.3,Saline,2
8.7,PargYomb,2
12.1,PargYomb,2
3.3,PargYomb,2
10.7,PargYomb,2
22.6,PargYomb,2
5,PargYomb,2
17.8,PargYomb,2
12.6,PargYomb,2
21.2,PargYomb,2
25.7,PargYomb,2
3.9,PargYomb,2
30.2,PargYomb,2
12.2,PargYomb,2
25.3,PargYomb,2
7,PargYomb,2
11.4,PargYomb,2
11.1,PargYomb,2
9.6,PargYomb,2
10.1,PargYomb,2
7.7,PargYomb,2
4.8,PargYomb,2
16.1,PargYomb,2
15.5,PargYomb,2
8.4,PargYomb,2
14.1,PargYomb,2
20.1,PargYomb,2
11.2,PargYomb,2
14.5,PargYomb,2
17.3,PargYomb,2
14.6,PargYomb,2
22.2,PargYomb,2
30.2,PargYomb,2
21.3,PargYomb,2
11.2,PargYomb,2
10.9,PargYomb,2
24.1,PargYomb,2
18.1,PargYomb,2
27.5,PargYomb,2
11.4,PargYomb,2
14.8,PargYomb,2
12.8,PargYomb,2
2.5,PargYomb,2
11.5,PargYomb,2
9.9,PargYomb,2
19,PargYomb,2
23.8,PargYomb,2
15.8,PargYomb,2
15.6,PargYomb,2
13.8,PargYomb,2
16.7,PargYomb,2
21.2,PargYomb,2
5.6,PargYomb,2
19.1,PargYomb,2
7.3,PargYomb,2
20.1,PargYomb,2
8.6,PargYomb,2
34.5,PargYomb,2
18.8,PargYomb,2
4.3,PargYomb,2
27,PargYomb,2
27.2,PargYomb,2
28.6,PargYomb,2
16.4,PargYomb,2
12.9,PargYomb,2
10,PargYomb,2
11.5,PargYomb,2
3.3,PargYomb,2
14,PargYomb,2
3.2,PargYomb,2
15.3,PargYomb,2
20.9,PargYomb,2
10.4,PargYomb,2
13.5,PargYomb,2
24.8,PargYomb,2
16.9,PargYomb,2
17.5,PargYomb,2
15.6,PargYomb,2
7.3,PargYomb,2
8.7,PargYomb,2
2.4,PargYomb,2
18.9,PargYomb,2
13.9,PargYomb,2
17.3,PargYomb,2
10.8,PargYomb,2
31.9,PargYomb,2
21,PargYomb,2
17.9,PargYomb,2
18.1,PargYomb,2
12.8,PargYomb,2
5.4,PargYomb,2
8.6,PargYomb,2
12.5,PargYomb,2
17.2,PargYomb,2
20.4,PargYomb,2
14,PargYomb,2
14.1,PargYomb,2
21.2,PargYomb,2
20.8,PargYomb,2
13.1,PargYomb,2
7.2,PargYomb,2
8.9,PargYomb,2
14.4,PargYomb,2
15.6,PargYomb,2
15.7,PargYomb,2
16.7,PargYomb,2
15.4,PargYomb,2
25,PargYomb,2
5.2,PargYomb,2
11.7,PargYomb,2
0.7,PargYomb,2
10,PargYomb,2
2.5,PargYomb,2
10.5,PargYomb,2
2,PargYomb,2
10.4,PargYomb,2
9.1,PargYomb,2
15.1,PargYomb,2
15,PargYomb,2
2.8,PargYomb,2
18.3,PargYomb,2
8.9,PargYomb,2
6.9,PargYomb,2
31.3,PargYomb,2
26.6,PargYomb,2
19.1,PargYomb,2
6.4,PargYomb,2
12.8,PargYomb,2
13.3,PargYomb,2
28.5,PargYomb,2
9.3,PargYomb,2
